order_id,order_date,customer_id,product_id,product_name,category,region,sales_rep,quantity,unit_price,discount,revenue,profit
1077,2024-07-03,C076,P012,Wireless Keyboard,Electronics,Asia Pacific,Carol Lee,5,45.99,0.05,218.45,65.54
1078,2024-07-06,C077,P078,USB-C Hub,Electronics,Latin America,David Kim,8,22.50,0.00,180.00,72.00
1079,2024-07-08,C078,P045,Desk Lamp,Furniture,North America,Alice Johnson,3,29.99,0.00,89.97,32.39
1080,2024-07-10,C079,P067,Project Management Software,Software,Europe,Bob Smith,1,199.00,0.15,169.15,135.32
1081,2024-07-13,C080,P034,Office Chair,Furniture,Asia Pacific,Frank Nguyen,5,249.00,0.10,1120.50,336.15
1082,2024-07-15,C081,P021,Laptop Stand,Electronics,North America,Alice Johnson,7,35.00,0.05,232.75,93.10
1083,2024-07-17,C082,P056,CRM Software,Software,Latin America,David Kim,2,299.00,0.00,598.00,478.40
1084,2024-07-19,C083,P005,Notebook Set,Stationery,Europe,Bob Smith,14,12.50,0.10,157.50,63.00
1085,2024-07-22,C084,P089,Standing Desk,Furniture,North America,Alice Johnson,3,599.00,0.10,1617.30,485.19
1086,2024-07-24,C085,P012,Wireless Keyboard,Electronics,Asia Pacific,Carol Lee,6,45.99,0.05,262.14,78.64
1087,2024-07-26,C086,P078,USB-C Hub,Electronics,Europe,Bob Smith,10,22.50,0.10,202.50,81.00
1088,2024-07-29,C087,P067,Project Management Software,Software,North America,Eve Torres,3,199.00,0.15,507.45,405.96
1089,2024-07-31,C088,P034,Office Chair,Furniture,Latin America,David Kim,2,249.00,0.05,473.10,141.93
1090,2024-08-02,C089,P021,Laptop Stand,Electronics,Asia Pacific,Frank Nguyen,4,35.00,0.05,133.00,53.20
1091,2024-08-05,C090,P045,Desk Lamp,Furniture,Europe,Bob Smith,8,29.99,0.00,239.92,86.37
1092,2024-08-07,C091,P056,CRM Software,Software,North America,Eve Torres,1,299.00,0.20,239.20,191.36
1093,2024-08-09,C092,P005,Notebook Set,Stationery,Latin America,David Kim,9,12.50,0.00,112.50,45.00
1094,2024-08-12,C093,P089,Standing Desk,Furniture,Asia Pacific,Carol Lee,2,599.00,0.15,1018.30,305.49
1095,2024-08-14,C094,P012,Wireless Keyboard,Electronics,Europe,Bob Smith,7,45.99,0.10,289.74,86.92
1096,2024-08-16,C095,P078,USB-C Hub,Electronics,North America,Alice Johnson,13,22.50,0.05,277.88,111.15
1097,2024-08-18,C096,P067,Project Management Software,Software,Asia Pacific,Frank Nguyen,2,199.00,0.15,338.30,270.64
1098,2024-08-21,C097,P034,Office Chair,Furniture,Latin America,David Kim,1,249.00,0.05,236.55,70.97
1099,2024-08-23,C098,P021,Laptop Stand,Electronics,Europe,Bob Smith,5,35.00,0.00,175.00,70.00
1100,2024-08-26,C099,P056,CRM Software,Software,North America,Eve Torres,2,299.00,0.20,478.40,382.72
