order_id,order_date,supplier_id,supplier_name,supplier_country,product_id,product_name,category,sku,warehouse_id,warehouse_location,quantity_ordered,quantity_received,unit_cost,total_cost,lead_time_days,on_time_delivery,quality_pass_rate,stock_on_hand,reorder_point,max_stock_level,days_of_inventory,stockout_occurred
SC015,2024-02-08,SUP05,SoftwareHub,United States,P067,Project Management Software,Software,PM-ENT-067,WH01,Chicago,40,40,60.00,2400.00,1,Yes,100.0,65,15,80,N/A,No
SC016,2024-02-10,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH04,Taipei,600,598,9.00,5382.00,7,Yes,99.0,980,250,1200,33,No
SC017,2024-02-14,SUP06,DeskMaster,Sweden,P089,Standing Desk,Furniture,SD-ADJ-089,WH01,Chicago,120,120,222.00,26640.00,18,Yes,97.0,160,40,200,32,No
SC018,2024-02-17,SUP07,AppDynamics,United States,P056,CRM Software,Software,CR-BIZ-056,WH02,Frankfurt,25,25,96.00,2400.00,1,Yes,100.0,38,8,50,N/A,No
SC019,2024-02-20,SUP08,GlobalSupplies,India,P005,Notebook Set,Stationery,NB-A5-005,WH04,Taipei,2500,2480,3.60,8928.00,25,No,98.8,3800,700,4500,63,No
SC020,2024-02-22,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH01,Chicago,600,600,18.80,11280.00,7,Yes,98.7,980,200,1200,39,No
SC021,2024-03-01,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH03,Shanghai,200,199,99.00,19701.00,15,Yes,97.5,380,80,460,57,No
SC022,2024-03-04,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH01,Chicago,400,400,14.00,5600.00,7,Yes,99.2,650,150,800,43,No
SC023,2024-03-06,SUP04,LightDesign Co,Taiwan,P045,Desk Lamp,Furniture,DL-LED-045,WH02,Frankfurt,550,548,11.80,6466.40,11,Yes,98.2,890,180,1050,59,No
SC024,2024-03-10,SUP09,CloudSoft Ltd,United Kingdom,P067,Project Management Software,Software,PM-ENT-067,WH02,Frankfurt,35,35,62.00,2170.00,1,Yes,100.0,55,12,70,N/A,No
SC025,2024-03-12,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH01,Chicago,750,750,9.20,6900.00,7,Yes,98.9,1100,280,1400,37,No
SC026,2024-03-15,SUP06,DeskMaster,Sweden,P089,Standing Desk,Furniture,SD-ADJ-089,WH03,Shanghai,100,100,225.00,22500.00,19,Yes,97.2,130,35,165,26,Yes
SC027,2024-03-18,SUP07,AppDynamics,United States,P056,CRM Software,Software,CR-BIZ-056,WH01,Chicago,30,30,96.00,2880.00,1,Yes,100.0,42,8,55,N/A,No
SC028,2024-03-22,SUP03,PaperWorld,China,P005,Notebook Set,Stationery,NB-A5-005,WH01,Chicago,2000,1995,3.50,6982.50,21,No,99.3,3200,600,4000,53,No
SC029,2024-04-01,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH02,Frankfurt,500,500,19.00,9500.00,7,Yes,98.6,840,180,1000,33,No
SC030,2024-04-03,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH01,Chicago,220,218,99.50,21691.00,14,Yes,97.0,360,75,450,49,No
SC031,2024-04-07,SUP08,GlobalSupplies,India,P005,Notebook Set,Stationery,NB-A5-005,WH03,Shanghai,2500,2495,3.55,8857.25,23,Yes,99.0,4000,750,5000,67,No
SC032,2024-04-10,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH04,Taipei,380,380,14.20,5396.00,7,Yes,99.1,630,140,770,42,No
SC033,2024-04-13,SUP04,LightDesign Co,Taiwan,P045,Desk Lamp,Furniture,DL-LED-045,WH01,Chicago,500,498,11.90,5930.20,10,Yes,98.4,820,175,1000,55,No
SC034,2024-04-17,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH02,Frankfurt,700,700,9.10,6370.00,7,Yes,99.0,1050,260,1300,35,No
SC035,2024-04-20,SUP06,DeskMaster,Sweden,P089,Standing Desk,Furniture,SD-ADJ-089,WH01,Chicago,140,140,224.00,31360.00,18,Yes,97.5,185,45,230,37,No
SC036,2024-04-24,SUP07,AppDynamics,United States,P056,CRM Software,Software,CR-BIZ-056,WH04,Taipei,28,28,97.00,2716.00,1,Yes,100.0,40,8,52,N/A,No
SC037,2024-05-02,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH01,Chicago,550,550,19.00,10450.00,7,Yes,98.8,900,190,1100,36,No
SC038,2024-05-05,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH03,Shanghai,190,190,100.00,19000.00,14,Yes,97.8,310,70,400,41,No
SC039,2024-05-09,SUP03,PaperWorld,China,P005,Notebook Set,Stationery,NB-A5-005,WH02,Frankfurt,2200,2198,3.50,7693.00,21,Yes,99.4,3600,700,4400,60,No
SC040,2024-05-12,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH01,Chicago,420,420,14.00,5880.00,7,Yes,99.3,700,155,850,47,No
SC041,2024-05-15,SUP05,SoftwareHub,United States,P067,Project Management Software,Software,PM-ENT-067,WH01,Chicago,45,45,61.00,2745.00,1,Yes,100.0,70,18,90,N/A,No
SC042,2024-05-18,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH04,Taipei,800,798,9.20,7341.60,8,Yes,99.2,1150,290,1450,38,No
SC043,2024-05-22,SUP06,DeskMaster,Sweden,P089,Standing Desk,Furniture,SD-ADJ-089,WH02,Frankfurt,130,129,226.00,29154.00,19,No,96.8,170,42,215,34,No
SC044,2024-05-27,SUP09,CloudSoft Ltd,United Kingdom,P056,CRM Software,Software,CR-BIZ-056,WH01,Chicago,30,30,98.00,2940.00,1,Yes,100.0,44,9,55,N/A,No
SC045,2024-06-01,SUP01,TechSource Inc,United States,P012,Wireless Keyboard,Electronics,WK-BT-001,WH03,Shanghai,480,480,19.20,9216.00,7,Yes,98.5,810,180,1000,32,No
SC046,2024-06-04,SUP02,FurniCo Global,Germany,P034,Office Chair,Furniture,OC-ERG-034,WH01,Chicago,200,200,100.50,20100.00,14,Yes,97.5,330,80,420,44,No
SC047,2024-06-08,SUP08,GlobalSupplies,India,P005,Notebook Set,Stationery,NB-A5-005,WH04,Taipei,2300,2290,3.55,8129.50,24,No,98.9,3750,720,4600,63,No
SC048,2024-06-11,SUP01,TechSource Inc,United States,P021,Laptop Stand,Electronics,LS-ALU-021,WH02,Frankfurt,400,400,14.30,5720.00,7,Yes,99.0,660,145,810,44,No
SC049,2024-06-15,SUP04,LightDesign Co,Taiwan,P045,Desk Lamp,Furniture,DL-LED-045,WH01,Chicago,520,518,12.00,6216.00,10,Yes,98.6,860,185,1050,57,No
SC050,2024-06-18,SUP01,TechSource Inc,United States,P078,USB-C Hub,Electronics,UC-7P-078,WH01,Chicago,750,750,9.30,6975.00,7,Yes,99.1,1100,275,1380,37,No
